autolabel_map.feature,autolabel_map.tag,autolabel_map.cnt,autolabel_map.month,autolabel_map.day
ft_app_act_30d_micro_loan_times_m_rate,3,13074,201910,20191016
ft_app_act_30d_micro_loan_times_m_rate,4,30295,201910,20191016
ft_app_act_30d_micro_loan_times_m_rate,blank,18040394,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,0,62621,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,1,21323,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,2,13655,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,3,12373,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,4,27812,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,blank,18040394,201910,20191016
ft_app_ins_current_finance_cnt_cv,0,9754694,201910,20191016
ft_app_ins_current_finance_cnt_cv,1,700105,201910,20191016
ft_app_ins_current_finance_cnt_cv,2,303114,201910,20191016
ft_app_ins_current_finance_cnt_cv,3,36828,201910,20191016
ft_app_ins_current_finance_cnt_cv,4,268701,201910,20191016
ft_app_ins_current_finance_cnt_cv,blank,7114736,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,0,728801,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,1,83120,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,2,146277,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,3,19580,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,4,203942,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,blank,16996458,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,0,300048,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,1,31839,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,2,79609,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,3,9634,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,4,126345,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,blank,17630703,201910,20191016
ft_app_act_30d_finance_cnt_cv,0,1765799,201910,20191016
ft_app_act_30d_finance_cnt_cv,1,369086,201910,20191016
ft_app_act_30d_finance_cnt_cv,2,596729,201910,20191016
ft_app_act_30d_finance_cnt_cv,3,321765,201910,20191016
ft_app_act_30d_finance_cnt_cv,4,672012,201910,20191016
ft_app_act_30d_finance_cnt_cv,blank,14452787,201910,20191016
ft_app_act_30d_finance_times_cv,0,786132,201910,20191016
ft_app_act_30d_finance_times_cv,1,605360,201910,20191016
ft_app_act_30d_finance_times_cv,2,760930,201910,20191016
ft_app_act_30d_finance_times_cv,3,711781,201910,20191016
ft_app_act_30d_finance_times_cv,4,861188,201910,20191016
ft_app_act_30d_finance_times_cv,blank,14452787,201910,20191016
ft_app_act_30d_finance_days_cv,0,1106255,201910,20191016
ft_app_act_30d_finance_days_cv,1,706479,201910,20191016
ft_app_act_30d_finance_days_cv,2,679218,201910,20191016
ft_app_act_30d_finance_days_cv,3,525173,201910,20191016
ft_app_act_30d_finance_days_cv,4,708266,201910,20191016
ft_app_act_30d_finance_days_cv,blank,14452787,201910,20191016
ft_app_act_30d_debit_credit_cnt_cv,0,92731,201910,20191016
ft_app_act_30d_debit_credit_cnt_cv,1,26042,201910,20191016
ft_app_act_30d_debit_credit_cnt_cv,2,57214,201910,20191016
ft_app_act_30d_debit_credit_cnt_cv,3,40919,201910,20191016
ft_app_act_30d_debit_credit_cnt_cv,4,110149,201910,20191016
ft_app_act_30d_debit_credit_cnt_cv,blank,17851123,201910,20191016
ft_app_act_30d_debit_credit_times_cv,0,44581,201910,20191016
ft_app_act_30d_debit_credit_times_cv,1,33221,201910,20191016
ft_app_act_30d_debit_credit_times_cv,2,55432,201910,20191016
ft_app_act_30d_debit_credit_times_cv,3,67353,201910,20191016
ft_app_act_30d_debit_credit_times_cv,4,126468,201910,20191016
ft_app_act_30d_debit_credit_times_cv,blank,17851123,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_llm,0,141,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_llm,1,7818,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_llm,2,13103055,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_llm,3,5593,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_llm,4,286,201910,20191016
ft_app_ins_current_finance_cnt_diff_m_llm,blank,5061285,201910,20191016
ft_app_act_30d_debit_credit_days_cv,0,63415,201910,20191016
ft_app_act_30d_debit_credit_days_cv,1,41896,201910,20191016
ft_app_act_30d_debit_credit_days_cv,2,56310,201910,20191016
ft_app_act_30d_debit_credit_days_cv,3,53000,201910,20191016
ft_app_act_30d_debit_credit_days_cv,4,112434,201910,20191016
ft_app_act_30d_debit_credit_days_cv,blank,17851123,201910,20191016
ft_app_act_30d_micro_loan_cnt_cv,0,29087,201910,20191016
ft_app_act_30d_micro_loan_cnt_cv,1,6254,201910,20191016
ft_app_act_30d_micro_loan_cnt_cv,2,24574,201910,20191016
ft_app_act_30d_micro_loan_cnt_cv,3,20565,201910,20191016
ft_app_act_30d_micro_loan_cnt_cv,4,68785,201910,20191016
ft_app_act_30d_micro_loan_cnt_cv,blank,18028913,201910,20191016
ft_app_act_30d_micro_loan_times_cv,0,15868,201910,20191016
ft_app_act_30d_micro_loan_times_cv,1,8555,201910,20191016
ft_app_act_30d_micro_loan_times_cv,2,19223,201910,20191016
ft_app_act_30d_micro_loan_times_cv,3,30483,201910,20191016
ft_app_act_30d_micro_loan_times_cv,4,75136,201910,20191016
ft_app_act_30d_micro_loan_times_cv,blank,18028913,201910,20191016
ft_app_act_30d_micro_loan_days_cv,0,20405,201910,20191016
ft_app_act_30d_micro_loan_days_cv,1,10764,201910,20191016
ft_app_act_30d_micro_loan_days_cv,2,22479,201910,20191016
ft_app_act_30d_micro_loan_days_cv,3,25830,201910,20191016
ft_app_act_30d_micro_loan_days_cv,4,69787,201910,20191016
ft_app_act_30d_micro_loan_days_cv,blank,18028913,201910,20191016
ft_app_ins_current_risk_cnt,0,14466281,201910,20191016
ft_app_ins_current_risk_cnt,1,11,201910,20191016
ft_app_ins_current_risk_cnt,2,0,201910,20191016
ft_app_ins_current_risk_cnt,3,0,201910,20191016
ft_app_ins_current_risk_cnt,4,1,201910,20191016
ft_app_ins_current_risk_cnt,blank,3711885,201910,20191016
ft_app_ins_history_risk_cnt,0,14465937,201910,20191016
ft_app_ins_history_risk_cnt,1,331,201910,20191016
ft_app_ins_history_risk_cnt,2,20,201910,20191016
ft_app_ins_history_risk_cnt,3,1,201910,20191016
ft_app_ins_history_risk_cnt,4,4,201910,20191016
ft_app_ins_history_risk_cnt,blank,3711885,201910,20191016
ft_app_ins_current_cheating_cnt,0,14465644,201910,20191016
ft_app_ins_current_cheating_cnt,1,534,201910,20191016
ft_app_ins_current_cheating_cnt,2,93,201910,20191016
ft_app_ins_current_cheating_cnt,3,18,201910,20191016
ft_app_ins_current_cheating_cnt,4,4,201910,20191016
ft_app_ins_current_cheating_cnt,blank,3711885,201910,20191016
ft_app_ins_history_cheating_cnt,0,14460382,201910,20191016
ft_app_ins_history_cheating_cnt,1,4550,201910,20191016
ft_app_ins_history_cheating_cnt,2,1149,201910,20191016
ft_app_ins_history_cheating_cnt,3,185,201910,20191016
ft_app_ins_history_cheating_cnt,4,27,201910,20191016
ft_app_ins_history_cheating_cnt,blank,3711885,201910,20191016
ft_app_ins_current_imei_alter_cnt,0,14466262,201910,20191016
ft_app_ins_current_imei_alter_cnt,1,0,201910,20191016
ft_app_ins_current_imei_alter_cnt,2,0,201910,20191016
ft_app_ins_current_imei_alter_cnt,3,0,201910,20191016
ft_app_ins_current_imei_alter_cnt,4,31,201910,20191016
ft_app_ins_current_imei_alter_cnt,blank,3711885,201910,20191016
ft_app_ins_history_imei_alter_cnt,0,14466182,201910,20191016
ft_app_ins_history_imei_alter_cnt,1,0,201910,20191016
ft_app_ins_history_imei_alter_cnt,2,0,201910,20191016
ft_app_ins_history_imei_alter_cnt,3,0,201910,20191016
ft_app_ins_history_imei_alter_cnt,4,111,201910,20191016
