feature|tag|min_value|max_value
ft_app_act_30d_micro_loan_times_diff_m_llm|4|9090.0|inf
ft_app_act_30d_micro_loan_times_diff_m_lm|0|-inf|-1366.0
ft_app_act_30d_micro_loan_times_diff_m_lm|1|-1366.0|2389.0
ft_app_act_30d_micro_loan_times_diff_m_lm|2|2389.0|6144.0
ft_app_act_30d_micro_loan_times_diff_m_lm|3|6144.0|9899.0
ft_app_act_30d_micro_loan_times_diff_m_lm|4|9899.0|inf
ft_app_act_30d_micro_loan_times_std|0|-inf|1340.4968
ft_app_act_30d_micro_loan_times_std|1|1340.4968|2680.9936
ft_app_act_30d_micro_loan_times_std|2|2680.9936|4021.4903
ft_app_act_30d_micro_loan_times_std|3|4021.4903|5361.9871
ft_app_act_30d_micro_loan_times_std|4|5361.9871|inf
ft_app_ins_current_debit_credit_cnt_avg|0|-inf|10.0
ft_app_ins_current_debit_credit_cnt_avg|1|10.0|20.0
ft_app_ins_current_debit_credit_cnt_avg|2|20.0|30.0
ft_app_ins_current_debit_credit_cnt_avg|3|30.0|40.0
ft_app_ins_current_debit_credit_cnt_avg|4|40.0|inf
ft_app_ins_current_debit_credit_cnt_diff_m_llm|0|-inf|-30.0
ft_app_ins_current_debit_credit_cnt_diff_m_llm|1|-30.0|-10.0
ft_app_ins_current_debit_credit_cnt_diff_m_llm|2|-10.0|10.0
ft_app_ins_current_debit_credit_cnt_diff_m_llm|3|10.0|30.0
ft_app_ins_current_debit_credit_cnt_diff_m_llm|4|30.0|inf
ft_app_ins_current_debit_credit_cnt_diff_m_lm|0|-inf|-30.0
ft_app_ins_current_debit_credit_cnt_diff_m_lm|1|-30.0|-10.0
ft_app_ins_current_debit_credit_cnt_diff_m_lm|2|-10.0|10.0
ft_app_ins_current_debit_credit_cnt_diff_m_lm|3|10.0|30.0
ft_app_ins_current_debit_credit_cnt_diff_m_lm|4|30.0|inf
ft_app_ins_current_debit_credit_cnt_std|0|-inf|5.0
ft_app_ins_current_debit_credit_cnt_std|1|5.0|10.0
ft_app_ins_current_debit_credit_cnt_std|2|10.0|15.0
ft_app_ins_current_debit_credit_cnt_std|3|15.0|20.0
ft_app_ins_current_debit_credit_cnt_std|4|20.0|inf
ft_app_act_30d_market_days|0|-inf|6.0
ft_app_act_30d_market_days|1|6.0|12.0
ft_app_act_30d_market_days|2|12.0|18.0
ft_app_act_30d_market_days|3|18.0|24.0
ft_app_act_30d_market_days|4|24.0|inf
ft_app_ins_current_online_shopping_cnt|0|-inf|10.0
ft_app_ins_current_online_shopping_cnt|1|10.0|20.0
ft_app_ins_current_online_shopping_cnt|2|20.0|30.0
ft_app_ins_current_online_shopping_cnt|3|30.0|40.0
ft_app_ins_current_online_shopping_cnt|4|40.0|inf
ft_app_ins_history_online_shopping_cnt|0|-inf|20.0
ft_app_ins_history_online_shopping_cnt|1|20.0|40.0
ft_app_ins_history_online_shopping_cnt|2|40.0|60.0
ft_app_ins_history_online_shopping_cnt|3|60.0|80.0
ft_app_ins_history_online_shopping_cnt|4|80.0|inf
ft_app_ins_current_travel_cnt|0|-inf|10.0
ft_app_ins_current_travel_cnt|1|10.0|20.0
ft_app_ins_current_travel_cnt|2|20.0|30.0
ft_app_ins_current_travel_cnt|3|30.0|40.0
ft_app_ins_current_travel_cnt|4|40.0|inf
ft_app_ins_history_travel_cnt|0|-inf|20.0
ft_app_ins_history_travel_cnt|1|20.0|40.0
ft_app_ins_history_travel_cnt|2|40.0|60.0
ft_app_ins_history_travel_cnt|3|60.0|80.0
ft_app_ins_history_travel_cnt|4|80.0|inf
ft_app_ins_current_discounts_cnt|0|-inf|10.0
ft_app_ins_current_discounts_cnt|1|10.0|20.0
ft_app_ins_current_discounts_cnt|2|20.0|30.0
ft_app_ins_current_discounts_cnt|3|30.0|40.0
ft_app_ins_current_discounts_cnt|4|40.0|inf
ft_app_ins_history_discounts_cnt|0|-inf|20.0
ft_app_ins_history_discounts_cnt|1|20.0|40.0
ft_app_ins_history_discounts_cnt|2|40.0|60.0
ft_app_ins_history_discounts_cnt|3|60.0|80.0
ft_app_ins_history_discounts_cnt|4|80.0|inf
ft_app_ins_current_market_cnt|0|-inf|10.0
ft_app_ins_current_market_cnt|1|10.0|20.0
ft_app_ins_current_market_cnt|2|20.0|30.0
ft_app_ins_current_market_cnt|3|30.0|40.0
ft_app_ins_current_market_cnt|4|40.0|inf
ft_app_ins_history_market_cnt|0|-inf|20.0
ft_app_ins_history_market_cnt|1|20.0|40.0
ft_app_ins_history_market_cnt|2|40.0|60.0
ft_app_ins_history_market_cnt|3|60.0|80.0
ft_app_ins_history_market_cnt|4|80.0|inf
ft_lbs_home_cons_ls_high|0|-inf|0.2008
ft_lbs_home_cons_ls_high|1|0.2008|0.4006
ft_lbs_home_cons_ls_high|2|0.4006|0.6004
ft_lbs_home_cons_ls_high|3|0.6004|0.8002
ft_lbs_home_cons_ls_high|4|0.8002|inf
ft_lbs_home_cons_ls_low|0|-inf|0.2056
ft_lbs_home_cons_ls_low|1|0.2056|0.4042
ft_lbs_home_cons_ls_low|2|0.4042|0.6028
ft_lbs_home_cons_ls_low|3|0.6028|0.8014
ft_lbs_home_cons_ls_low|4|0.8014|inf
ft_lbs_home_cons_ls_middle|0|-inf|0.2216
ft_lbs_home_cons_ls_middle|1|0.2216|0.4162
ft_lbs_home_cons_ls_middle|2|0.4162|0.6108
ft_lbs_home_cons_ls_middle|3|0.6108|0.8054
ft_lbs_home_cons_ls_middle|4|0.8054|inf
ft_lbs_pwoi_all_mostoften_consume_high|0|-inf|0.2384
ft_lbs_pwoi_all_mostoften_consume_high|1|0.2384|0.2668
ft_lbs_pwoi_all_mostoften_consume_high|2|0.2668|0.2952
ft_lbs_pwoi_all_mostoften_consume_high|3|0.2952|0.3236
ft_lbs_pwoi_all_mostoften_consume_high|4|0.3236|inf
ft_lbs_pwoi_all_mostoften_consume_low|0|-inf|0.1696
ft_lbs_pwoi_all_mostoften_consume_low|1|0.1696|0.1892
ft_lbs_pwoi_all_mostoften_consume_low|2|0.1892|0.2088
ft_lbs_pwoi_all_mostoften_consume_low|3|0.2088|0.2284
ft_lbs_pwoi_all_mostoften_consume_low|4|0.2284|inf
ft_lbs_pwoi_all_mostoften_consume_middle|0|-inf|0.5132
ft_lbs_pwoi_all_mostoften_consume_middle|1|0.5132|0.5374
ft_lbs_pwoi_all_mostoften_consume_middle|2|0.5374|0.5616
ft_lbs_pwoi_all_mostoften_consume_middle|3|0.5616|0.5858
ft_lbs_pwoi_all_mostoften_consume_middle|4|0.5858|inf
ft_lbs_pwoi_all_often_consum_high|0|-inf|0.2384
ft_lbs_pwoi_all_often_consum_high|1|0.2384|0.2668
ft_lbs_pwoi_all_often_consum_high|2|0.2668|0.2952
ft_lbs_pwoi_all_often_consum_high|3|0.2952|0.3236
ft_lbs_pwoi_all_often_consum_high|4|0.3236|inf
ft_lbs_pwoi_all_often_consum_low|0|-inf|0.1696
ft_lbs_pwoi_all_often_consum_low|1|0.1696|0.1892
ft_lbs_pwoi_all_often_consum_low|2|0.1892|0.2088
ft_lbs_pwoi_all_often_consum_low|3|0.2088|0.2284
ft_lbs_pwoi_all_often_consum_low|4|0.2284|inf
ft_lbs_pwoi_all_often_consum_middle|0|-inf|0.5132
ft_lbs_pwoi_all_often_consum_middle|1|0.5132|0.5374
ft_lbs_pwoi_all_often_consum_middle|2|0.5374|0.5616
ft_lbs_pwoi_all_often_consum_middle|3|0.5616|0.5858
ft_lbs_pwoi_all_often_consum_middle|4|0.5858|inf
ft_lbs_work_cons_ls_high|0|-inf|0.2008
ft_lbs_work_cons_ls_high|1|0.2008|0.4006
ft_lbs_work_cons_ls_high|2|0.4006|0.6004
ft_lbs_work_cons_ls_high|3|0.6004|0.8002
ft_lbs_work_cons_ls_high|4|0.8002|inf
ft_lbs_work_cons_ls_low|0|-inf|0.2048
ft_lbs_work_cons_ls_low|1|0.2048|0.4036
ft_lbs_work_cons_ls_low|2|0.4036|0.6024
ft_lbs_work_cons_ls_low|3|0.6024|0.8012
ft_lbs_work_cons_ls_low|4|0.8012|inf
ft_lbs_work_cons_ls_middle|0|-inf|0.2216
ft_lbs_work_cons_ls_middle|1|0.2216|0.4162
ft_lbs_work_cons_ls_middle|2|0.4162|0.6108
ft_lbs_work_cons_ls_middle|3|0.6108|0.8054
ft_lbs_work_cons_ls_middle|4|0.8054|inf
ft_consumption_score_a|0|-inf|528.8
ft_consumption_score_a|1|528.8|537.6
ft_consumption_score_a|2|537.6|546.4
ft_consumption_score_a|3|546.4|555.2
ft_consumption_score_a|4|555.2|inf
ft_consumption_score_c|0|-inf|547.6
ft_consumption_score_c|1|547.6|549.2
ft_consumption_score_c|2|549.2|550.8
ft_consumption_score_c|3|550.8|552.4
ft_consumption_score_c|4|552.4|inf
ft_consumption_score_e|0|-inf|526.2
ft_consumption_score_e|1|526.2|541.4
ft_consumption_score_e|2|541.4|556.6
ft_consumption_score_e|3|556.6|571.8
ft_consumption_score_e|4|571.8|inf
ft_app_ins_current_finance_cnt|0|-inf|10.0
ft_app_ins_current_finance_cnt|1|10.0|20.0
ft_app_ins_current_finance_cnt|2|20.0|30.0
ft_app_ins_current_finance_cnt|3|30.0|40.0
ft_app_ins_current_finance_cnt|4|40.0|inf
ft_app_ins_history_finance_cnt|0|-inf|20.0
ft_app_ins_history_finance_cnt|1|20.0|40.0
ft_app_ins_history_finance_cnt|2|40.0|60.0
ft_app_ins_history_finance_cnt|3|60.0|80.0
ft_app_ins_history_finance_cnt|4|80.0|inf
ft_app_ins_current_gamble_cnt|0|-inf|1.6
ft_app_ins_current_gamble_cnt|1|1.6|3.2
ft_app_ins_current_gamble_cnt|2|3.2|4.8
ft_app_ins_current_gamble_cnt|3|4.8|6.4
ft_app_ins_current_gamble_cnt|4|6.4|inf
ft_app_ins_history_gamble_cnt|0|-inf|6.0
ft_app_ins_history_gamble_cnt|1|6.0|12.0
ft_app_ins_history_gamble_cnt|2|12.0|18.0
ft_app_ins_history_gamble_cnt|3|18.0|24.0
ft_app_ins_history_gamble_cnt|4|24.0|inf
ft_app_ins_current_insurance_cnt|0|-inf|7.4
ft_app_ins_current_insurance_cnt|1|7.4|14.8
ft_app_ins_current_insurance_cnt|2|14.8|22.2
ft_app_ins_current_insurance_cnt|3|22.2|29.6
ft_app_ins_current_insurance_cnt|4|29.6|inf
ft_app_ins_history_insurance_cnt|0|-inf|12.2
ft_app_ins_history_insurance_cnt|1|12.2|24.4
ft_app_ins_history_insurance_cnt|2|24.4|36.6
ft_app_ins_history_insurance_cnt|3|36.6|48.8
ft_app_ins_history_insurance_cnt|4|48.8|inf
ft_app_ins_current_credit_card_cnt|0|-inf|4.2
ft_app_ins_current_credit_card_cnt|1|4.2|8.4
ft_app_ins_current_credit_card_cnt|2|8.4|12.6
ft_app_ins_current_credit_card_cnt|3|12.6|16.8
ft_app_ins_current_credit_card_cnt|4|16.8|inf
ft_app_ins_history_credit_card_cnt|0|-inf|7.2
ft_app_ins_history_credit_card_cnt|1|7.2|14.4
ft_app_ins_history_credit_card_cnt|2|14.4|21.6
ft_app_ins_history_credit_card_cnt|3|21.6|28.8
ft_app_ins_history_credit_card_cnt|4|28.8|inf
ft_app_ins_current_debit_credit_cnt|0|-inf|10.0
ft_app_ins_current_debit_credit_cnt|1|10.0|20.0
ft_app_ins_current_debit_credit_cnt|2|20.0|30.0
ft_app_ins_current_debit_credit_cnt|3|30.0|40.0
ft_app_ins_current_debit_credit_cnt|4|40.0|inf
ft_app_ins_history_debit_credit_cnt|0|-inf|20.0
ft_app_ins_history_debit_credit_cnt|1|20.0|40.0
ft_app_ins_history_debit_credit_cnt|2|40.0|60.0
ft_app_ins_history_debit_credit_cnt|3|60.0|80.0
ft_app_ins_history_debit_credit_cnt|4|80.0|inf
ft_app_ins_current_lottery_cnt|0|-inf|10.0
ft_app_ins_current_lottery_cnt|1|10.0|20.0
ft_app_ins_current_lottery_cnt|2|20.0|30.0
ft_app_ins_current_lottery_cnt|3|30.0|40.0
ft_app_ins_current_lottery_cnt|4|40.0|inf
ft_app_ins_history_lottery_cnt|0|-inf|20.0
ft_app_ins_history_lottery_cnt|1|20.0|40.0
ft_app_ins_history_lottery_cnt|2|40.0|60.0
ft_app_ins_history_lottery_cnt|3|60.0|80.0
ft_app_ins_history_lottery_cnt|4|80.0|inf
ft_app_ins_current_invest_cnt|0|-inf|10.0
ft_app_ins_current_invest_cnt|1|10.0|20.0
ft_app_ins_current_invest_cnt|2|20.0|30.0
ft_app_ins_current_invest_cnt|3|30.0|40.0
ft_app_ins_current_invest_cnt|4|40.0|inf
ft_app_ins_history_invest_cnt|0|-inf|20.0
ft_app_ins_history_invest_cnt|1|20.0|40.0
ft_app_ins_history_invest_cnt|2|40.0|60.0
ft_app_ins_history_invest_cnt|3|60.0|80.0
ft_app_ins_history_invest_cnt|4|80.0|inf
ft_app_ins_current_payment_cnt|0|-inf|4.2
ft_app_ins_current_payment_cnt|1|4.2|8.4
ft_app_ins_current_payment_cnt|2|8.4|12.6
ft_app_ins_current_payment_cnt|3|12.6|16.8
ft_app_ins_current_payment_cnt|4|16.8|inf
ft_app_ins_history_payment_cnt|0|-inf|12.6
ft_app_ins_history_payment_cnt|1|12.6|25.2
ft_app_ins_history_payment_cnt|2|25.2|37.8
ft_app_ins_history_payment_cnt|3|37.8|50.4
ft_app_ins_history_payment_cnt|4|50.4|inf
ft_app_act_30d_photo_times|0|-inf|8918.8
ft_app_act_30d_photo_times|1|8918.8|17837.6
ft_app_act_30d_photo_times|2|17837.6|26756.4
ft_app_act_30d_photo_times|3|26756.4|35675.2
ft_app_act_30d_photo_times|4|35675.2|inf
ft_app_act_30d_photo_days|0|-inf|6.0
ft_app_act_30d_photo_days|1|6.0|12.0
ft_app_act_30d_photo_days|2|12.0|18.0
ft_app_act_30d_photo_days|3|18.0|24.0
ft_app_act_30d_photo_days|4|24.0|inf
ft_app_act_30d_news_reading_cnt|0|-inf|10.0
ft_app_act_30d_news_reading_cnt|1|10.0|20.0
ft_app_act_30d_news_reading_cnt|2|20.0|30.0
ft_app_act_30d_news_reading_cnt|3|30.0|40.0
ft_app_act_30d_news_reading_cnt|4|40.0|inf
ft_app_act_30d_news_reading_times|0|-inf|11348.2
ft_app_act_30d_news_reading_times|1|11348.2|22696.4
ft_app_act_30d_news_reading_times|2|22696.4|34044.6
ft_app_act_30d_news_reading_times|3|34044.6|45392.8
ft_app_act_30d_news_reading_times|4|45392.8|inf
ft_app_act_30d_news_reading_days|0|-inf|6.0
ft_app_act_30d_news_reading_days|1|6.0|12.0
ft_app_act_30d_news_reading_days|2|12.0|18.0
ft_app_act_30d_news_reading_days|3|18.0|24.0
ft_app_act_30d_news_reading_days|4|24.0|inf
ft_app_act_30d_game_cnt|0|-inf|10.0
ft_app_act_30d_game_cnt|1|10.0|20.0
ft_app_act_30d_game_cnt|2|20.0|30.0
ft_app_act_30d_game_cnt|3|30.0|40.0
ft_app_act_30d_game_cnt|4|40.0|inf
ft_app_act_30d_game_times|0|-inf|14131.8
ft_app_act_30d_game_times|1|14131.8|28263.6
ft_app_act_30d_game_times|2|28263.6|42395.4
ft_app_act_30d_game_times|3|42395.4|56527.2
ft_app_act_30d_game_times|4|56527.2|inf
ft_app_act_30d_game_days|0|-inf|6.0
ft_app_act_30d_game_days|1|6.0|12.0
ft_app_act_30d_game_days|2|12.0|18.0
ft_app_act_30d_game_days|3|18.0|24.0
ft_app_act_30d_game_days|4|24.0|inf
ft_app_act_30d_life_casual_cnt|0|-inf|10.0
ft_app_act_30d_life_casual_cnt|1|10.0|20.0
ft_app_act_30d_life_casual_cnt|2|20.0|30.0
ft_app_act_30d_life_casual_cnt|3|30.0|40.0
ft_app_act_30d_life_casual_cnt|4|40.0|inf
ft_app_act_30d_life_casual_times|0|-inf|9636.6
ft_app_act_30d_life_casual_times|1|9636.6|19273.2
ft_app_act_30d_life_casual_times|2|19273.2|28909.8
ft_app_act_30d_life_casual_times|3|28909.8|38546.4
ft_app_act_30d_life_casual_times|4|38546.4|inf
ft_app_act_30d_life_casual_days|0|-inf|6.0
ft_app_act_30d_life_casual_days|1|6.0|12.0
ft_app_act_30d_life_casual_days|2|12.0|18.0
ft_app_act_30d_life_casual_days|3|18.0|24.0
ft_app_act_30d_life_casual_days|4|24.0|inf
ft_app_act_30d_examination_cnt|0|-inf|10.0
ft_app_act_30d_examination_cnt|1|10.0|20.0
ft_app_act_30d_examination_cnt|2|20.0|30.0
ft_app_act_30d_examination_cnt|3|30.0|40.0
ft_app_act_30d_examination_cnt|4|40.0|inf
ft_app_act_30d_examination_times|0|-inf|14044.4
ft_app_act_30d_examination_times|1|14044.4|28088.8
ft_app_act_30d_examination_times|2|28088.8|42133.2
ft_app_act_30d_examination_times|3|42133.2|56177.6
ft_app_act_30d_examination_times|4|56177.6|inf
ft_app_act_30d_examination_days|0|-inf|6.0
ft_app_act_30d_examination_days|1|6.0|12.0
ft_app_act_30d_examination_days|2|12.0|18.0
ft_app_act_30d_examination_days|3|18.0|24.0
ft_app_act_30d_examination_days|4|24.0|inf
ft_app_act_30d_child_rearin_cnt|0|-inf|10.0
ft_app_act_30d_child_rearin_cnt|1|10.0|20.0
ft_app_act_30d_child_rearin_cnt|2|20.0|30.0
ft_app_act_30d_child_rearin_cnt|3|30.0|40.0
ft_app_act_30d_child_rearin_cnt|4|40.0|inf
ft_app_act_30d_child_rearin_times|0|-inf|4503.6
ft_app_act_30d_child_rearin_times|1|4503.6|9007.2
ft_app_act_30d_child_rearin_times|2|9007.2|13510.8
ft_app_act_30d_child_rearin_times|3|13510.8|18014.4
ft_app_act_30d_child_rearin_times|4|18014.4|inf
ft_app_act_30d_child_rearin_days|0|-inf|6.0
ft_app_act_30d_child_rearin_days|1|6.0|12.0
ft_app_act_30d_child_rearin_days|2|12.0|18.0
ft_app_act_30d_child_rearin_days|3|18.0|24.0
ft_app_act_30d_child_rearin_days|4|24.0|inf
ft_app_act_30d_messaging_social_cnt|0|-inf|9.0
ft_app_act_30d_messaging_social_cnt|1|9.0|18.0
ft_app_act_30d_messaging_social_cnt|2|18.0|27.0
ft_app_act_30d_messaging_social_cnt|3|27.0|36.0
ft_app_act_30d_messaging_social_cnt|4|36.0|inf
ft_app_act_30d_messaging_social_times|0|-inf|21654.2
ft_app_act_30d_messaging_social_times|1|21654.2|43308.4
ft_app_act_30d_messaging_social_times|2|43308.4|64962.6
ft_app_act_30d_messaging_social_times|3|64962.6|86616.8
ft_app_act_30d_messaging_social_times|4|86616.8|inf
ft_app_act_30d_messaging_social_days|0|-inf|6.0
ft_app_act_30d_messaging_social_days|1|6.0|12.0
ft_app_act_30d_messaging_social_days|2|12.0|18.0
ft_app_act_30d_messaging_social_days|3|18.0|24.0
ft_app_act_30d_messaging_social_days|4|24.0|inf
ft_app_act_30d_short_video_cnt|0|-inf|1.4
ft_app_act_30d_short_video_cnt|1|1.4|2.8
ft_app_act_30d_short_video_cnt|2|2.8|4.2
ft_app_act_30d_short_video_cnt|3|4.2|5.6
ft_app_act_30d_short_video_cnt|4|5.6|inf
ft_app_act_30d_short_video_times|0|-inf|7358.4
ft_app_act_30d_short_video_times|1|7358.4|14716.8
ft_app_act_30d_short_video_times|2|14716.8|22075.2
ft_app_act_30d_short_video_times|3|22075.2|29433.6
ft_app_act_30d_short_video_times|4|29433.6|inf
ft_app_act_30d_short_video_days|0|-inf|6.0
ft_app_act_30d_short_video_days|1|6.0|12.0
ft_app_act_30d_short_video_days|2|12.0|18.0
ft_app_act_30d_short_video_days|3|18.0|24.0
ft_app_act_30d_short_video_days|4|24.0|inf
ft_app_act_30d_live_cnt|0|-inf|3.0
ft_app_act_30d_live_cnt|1|3.0|6.0
ft_app_act_30d_live_cnt|2|6.0|9.0
ft_app_act_30d_live_cnt|3|9.0|12.0
ft_app_act_30d_live_cnt|4|12.0|inf
ft_app_act_30d_live_times|0|-inf|4615.0
ft_app_act_30d_live_times|1|4615.0|9230.0
ft_app_act_30d_live_times|2|9230.0|13845.0
ft_app_act_30d_live_times|3|13845.0|18460.0
ft_app_act_30d_live_times|4|18460.0|inf
ft_app_act_30d_live_days|0|-inf|6.0
ft_app_act_30d_live_days|1|6.0|12.0
ft_app_act_30d_live_days|2|12.0|18.0
ft_app_act_30d_live_days|3|18.0|24.0
ft_app_act_30d_live_days|4|24.0|inf
ft_asset_score_a|0|-inf|525.0
ft_asset_score_a|1|525.0|536.0
ft_asset_score_a|2|536.0|547.0
ft_asset_score_a|3|547.0|558.0
ft_asset_score_a|4|558.0|inf
ft_asset_score_c|0|-inf|531.0
ft_asset_score_c|1|531.0|540.0
ft_asset_score_c|2|540.0|549.0
ft_asset_score_c|3|549.0|558.0
ft_asset_score_c|4|558.0|inf
ft_asset_score_e|0|-inf|545.2
ft_asset_score_e|1|545.2|552.4
ft_asset_score_e|2|552.4|559.6
ft_asset_score_e|3|559.6|566.8
ft_asset_score_e|4|566.8|inf
ft_app_act_30d_online_shopping_cnt|0|-inf|6.8
ft_app_act_30d_online_shopping_cnt|1|6.8|13.6
ft_app_act_30d_online_shopping_cnt|2|13.6|20.4
ft_app_act_30d_online_shopping_cnt|3|20.4|27.2
ft_app_act_30d_online_shopping_cnt|4|27.2|inf
ft_app_act_30d_online_shopping_times|0|-inf|10995.8
ft_app_act_30d_online_shopping_times|1|10995.8|21991.6
ft_app_act_30d_online_shopping_times|2|21991.6|32987.4
ft_app_act_30d_online_shopping_times|3|32987.4|43983.2
ft_app_act_30d_online_shopping_times|4|43983.2|inf
ft_app_act_30d_online_shopping_days|0|-inf|6.0
ft_app_act_30d_online_shopping_days|1|6.0|12.0
ft_app_act_30d_online_shopping_days|2|12.0|18.0
ft_app_act_30d_online_shopping_days|3|18.0|24.0
ft_app_act_30d_online_shopping_days|4|24.0|inf
ft_app_act_30d_travel_cnt|0|-inf|4.0
ft_app_act_30d_travel_cnt|1|4.0|8.0
ft_app_act_30d_travel_cnt|2|8.0|12.0
ft_app_act_30d_travel_cnt|3|12.0|16.0
ft_app_act_30d_travel_cnt|4|16.0|inf
ft_app_act_30d_travel_times|0|-inf|9980.6
ft_app_act_30d_travel_times|1|9980.6|19961.2
ft_app_act_30d_travel_times|2|19961.2|29941.8
ft_app_act_30d_travel_times|3|29941.8|39922.4
ft_app_act_30d_travel_times|4|39922.4|inf
ft_app_act_30d_travel_days|0|-inf|6.0
ft_app_act_30d_travel_days|1|6.0|12.0
ft_app_act_30d_travel_days|2|12.0|18.0
ft_app_act_30d_travel_days|3|18.0|24.0
ft_app_act_30d_travel_days|4|24.0|inf
ft_app_act_30d_discounts_cnt|0|-inf|3.4
ft_app_act_30d_discounts_cnt|1|3.4|6.8
ft_app_act_30d_discounts_cnt|2|6.8|10.2
ft_app_act_30d_discounts_cnt|3|10.2|13.6
ft_app_act_30d_discounts_cnt|4|13.6|inf
ft_app_act_30d_discounts_times|0|-inf|3927.8
ft_app_act_30d_discounts_times|1|3927.8|7855.6
ft_app_act_30d_discounts_times|2|7855.6|11783.4
ft_app_act_30d_discounts_times|3|11783.4|15711.2
ft_app_act_30d_discounts_times|4|15711.2|inf
ft_app_act_30d_discounts_days|0|-inf|6.0
ft_app_act_30d_discounts_days|1|6.0|12.0
ft_app_act_30d_discounts_days|2|12.0|18.0
ft_app_act_30d_discounts_days|3|18.0|24.0
ft_app_act_30d_discounts_days|4|24.0|inf
ft_app_act_30d_market_cnt|0|-inf|3.6
ft_app_act_30d_market_cnt|1|3.6|7.2
ft_app_act_30d_market_cnt|2|7.2|10.8
ft_app_act_30d_market_cnt|3|10.8|14.4
ft_app_act_30d_market_cnt|4|14.4|inf
ft_app_act_30d_market_times|0|-inf|8155.2
ft_app_act_30d_market_times|1|8155.2|16310.4
ft_app_act_30d_market_times|2|16310.4|24465.6
ft_app_act_30d_market_times|3|24465.6|32620.8
ft_app_act_30d_market_times|4|32620.8|inf
ft_act_2week_rest_less_act_period_ls_hour12_13|1||
ft_act_2week_rest_less_act_period_ls_hour5_7|1||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|1||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|2||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|3||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|4||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|5||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|6||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|7||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|8||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|9||
ft_cross_lbs_4wr_act_cnt_app_4w_unins|10||
ft_cross_lbs_staycity_tag_021700|1||
ft_cross_lbs_staycity_tag_021700|2||
ft_cross_lbs_staycity_tag_021700|3||
ft_cross_lbs_staycity_tag_021700|4||
ft_cross_lbs_staycity_tag_021700|5||
ft_cross_most_act_cate_lbs_staycity|1||
ft_cross_most_act_cate_lbs_staycity|2||
ft_cross_most_act_cate_lbs_staycity|3||
ft_cross_most_act_cate_lbs_staycity|4||
ft_cross_most_act_cate_lbs_staycity|5||
ft_cross_most_act_cate_lbs_staycity|6||
ft_cross_most_act_cate_lbs_staycity|7||
ft_cross_most_act_cate_lbs_staycity|8||
ft_cross_most_act_cate_lbs_staycity|9||
ft_cross_most_act_cate_lbs_staycity|10||
ft_cross_most_act_cate_lbs_staycity|11||
ft_cross_most_act_cate_lbs_staycity|12||
ft_cross_most_act_cate_lbs_staycity|13||
ft_cross_most_act_cate_lbs_staycity|14||
ft_cross_most_act_cate_lbs_staycity|15||
ft_cross_most_act_cate_lbs_staycity|16||
ft_cross_most_act_cate_lbs_staycity|17||
ft_cross_most_act_cate_lbs_staycity|18||
ft_cross_most_act_cate_lbs_staycity|19||
ft_cross_most_act_cate_lbs_staycity|20||
ft_cross_most_act_cate_lbs_staycity|21||
ft_cross_most_act_cate_lbs_staycity|22||
ft_cross_most_act_cate_lbs_staycity|23||
ft_cross_tag_travel_macao_cnt|1||
ft_cross_tag_travel_macao_cnt|2||
ft_cross_tag_travel_macao_cnt|3||
ft_cross_tag_travel_macao_cnt|4||
ft_cross_tag_travel_macao_cnt|5||
ft_cross_tag_travel_macao_cnt|6||
ft_cross_tag_travel_macao_cnt|7||
ft_cross_tag_travel_macao_cnt|8||
ft_cross_tag_travel_macao_cnt|9||
ft_cross_tag_travel_macao_cnt|10||
ft_dev_all_nighter|1||
ft_dev_deprecia_price|0||
ft_dev_deprecia_price|1||
ft_dev_deprecia_price|2||
ft_dev_deprecia_price|3||
ft_dev_deprecia_price|4||
ft_dev_deprecia_price|5||
ft_dev_gid2imei_2w_cnt|1||
ft_dev_gid2imei_2w_cnt|2||
ft_dev_gid2imei_2w_cnt|3||
ft_dev_gid2imei_2w_cnt|4||
ft_dev_gid2imei_2w_cnt|5||
ft_dev_gid2imsi_2w_cnt|1||
ft_dev_gid2imsi_2w_cnt|2||
ft_dev_gid2imsi_2w_cnt|3||
ft_dev_gid2imsi_2w_cnt|4||
ft_dev_gid2imsi_2w_cnt|5||
ft_dev_gid2mac_2w_cnt|1||
ft_dev_gid2mac_2w_cnt|2||
ft_dev_gid2mac_2w_cnt|3||
ft_dev_gid2mac_2w_cnt|4||
ft_dev_gid2mac_2w_cnt|5||
ft_dev_market_price|0||
ft_dev_market_price|1||
ft_dev_market_price|2||
ft_dev_market_price|3||
ft_dev_market_price|4||
ft_dev_market_price|5||
ft_dev_market_year|0||
ft_dev_market_year|1||
ft_dev_market_year|2||
ft_dev_market_year|3||
ft_dev_market_year|4||
ft_dev_market_year|5||
ft_dev_market_year|6||
ft_dev_root|0||
ft_dev_root|1||
ft_dev_root_blacklist|1||
ft_dev_root_blacklist|1,3||
ft_dev_root_blacklist|2-1||
