feature|tag|min_value|max_value
ft_app_act_30d_micro_loan_days_m_rate|0|-inf|0.6
ft_app_act_30d_micro_loan_days_m_rate|1|0.6|1.2
ft_app_act_30d_micro_loan_days_m_rate|2|1.2|1.8
ft_app_act_30d_micro_loan_days_m_rate|3|1.8|2.4
ft_app_act_30d_micro_loan_days_m_rate|4|2.4|inf
ft_app_ins_current_finance_cnt_cv|0|-inf|0.2828
ft_app_ins_current_finance_cnt_cv|1|0.2828|0.5657
ft_app_ins_current_finance_cnt_cv|2|0.5657|0.8485
ft_app_ins_current_finance_cnt_cv|3|0.8485|1.1314
ft_app_ins_current_finance_cnt_cv|4|1.1314|inf
ft_app_ins_current_debit_credit_cnt_cv|0|-inf|0.2828
ft_app_ins_current_debit_credit_cnt_cv|1|0.2828|0.5657
ft_app_ins_current_debit_credit_cnt_cv|2|0.5657|0.8485
ft_app_ins_current_debit_credit_cnt_cv|3|0.8485|1.1314
ft_app_ins_current_debit_credit_cnt_cv|4|1.1314|inf
ft_app_ins_current_micro_loan_cnt_cv|0|-inf|0.2828
ft_app_ins_current_micro_loan_cnt_cv|1|0.2828|0.5657
ft_app_ins_current_micro_loan_cnt_cv|2|0.5657|0.8485
ft_app_ins_current_micro_loan_cnt_cv|3|0.8485|1.1314
ft_app_ins_current_micro_loan_cnt_cv|4|1.1314|inf
ft_app_act_30d_finance_cnt_cv|0|-inf|0.2828
ft_app_act_30d_finance_cnt_cv|1|0.2828|0.5657
ft_app_act_30d_finance_cnt_cv|2|0.5657|0.8485
ft_app_act_30d_finance_cnt_cv|3|0.8485|1.1314
ft_app_act_30d_finance_cnt_cv|4|1.1314|inf
ft_app_act_30d_finance_times_cv|0|-inf|0.2828
ft_app_act_30d_finance_times_cv|1|0.2828|0.5657
ft_app_act_30d_finance_times_cv|2|0.5657|0.8485
ft_app_act_30d_finance_times_cv|3|0.8485|1.1314
ft_app_act_30d_finance_times_cv|4|1.1314|inf
ft_app_act_30d_finance_days_cv|0|-inf|0.2828
ft_app_act_30d_finance_days_cv|1|0.2828|0.5657
ft_app_act_30d_finance_days_cv|2|0.5657|0.8485
ft_app_act_30d_finance_days_cv|3|0.8485|1.1314
ft_app_act_30d_finance_days_cv|4|1.1314|inf
ft_app_act_30d_debit_credit_cnt_cv|0|-inf|0.2828
ft_app_act_30d_debit_credit_cnt_cv|1|0.2828|0.5657
ft_app_act_30d_debit_credit_cnt_cv|2|0.5657|0.8485
ft_app_act_30d_debit_credit_cnt_cv|3|0.8485|1.1314
ft_app_act_30d_debit_credit_cnt_cv|4|1.1314|inf
ft_app_act_30d_debit_credit_times_cv|0|-inf|0.2828
ft_app_act_30d_debit_credit_times_cv|1|0.2828|0.5657
ft_app_act_30d_debit_credit_times_cv|2|0.5657|0.8485
