feature|if_continuous|tag|min_value|max_value|chinese_name
ft_app_ins_current_micro_loan_cnt_m_rate|1|3|1.8|2.4|当前月小贷类APP安装个数的异动率
ft_app_ins_current_micro_loan_cnt_m_rate|1|4|2.4|inf|当前月小贷类APP安装个数的异动率
ft_app_act_30d_finance_cnt_m_rate|1|0|-inf|0.6|30天金融类APP活跃个数的异动率
ft_app_act_30d_finance_cnt_m_rate|1|1|0.6|1.2|30天金融类APP活跃个数的异动率
ft_app_act_30d_finance_cnt_m_rate|1|2|1.2|1.8|30天金融类APP活跃个数的异动率
ft_app_act_30d_finance_cnt_m_rate|1|3|1.8|2.4|30天金融类APP活跃个数的异动率
ft_app_act_30d_finance_cnt_m_rate|1|4|2.4|inf|30天金融类APP活跃个数的异动率
ft_app_act_30d_finance_times_m_rate|1|0|-inf|0.6|30天金融类APP活跃次数的异动率
ft_app_act_30d_finance_times_m_rate|1|1|0.6|1.2|30天金融类APP活跃次数的异动率
ft_app_act_30d_finance_times_m_rate|1|2|1.2|1.8|30天金融类APP活跃次数的异动率
ft_app_act_30d_finance_times_m_rate|1|3|1.8|2.4|30天金融类APP活跃次数的异动率
ft_app_act_30d_finance_times_m_rate|1|4|2.4|inf|30天金融类APP活跃次数的异动率
ft_app_act_30d_finance_days_m_rate|1|0|-inf|0.6|30天金融类APP活跃天数的异动率
ft_app_act_30d_finance_days_m_rate|1|1|0.6|1.2|30天金融类APP活跃天数的异动率
ft_app_act_30d_finance_days_m_rate|1|2|1.2|1.8|30天金融类APP活跃天数的异动率
ft_app_act_30d_finance_days_m_rate|1|3|1.8|2.4|30天金融类APP活跃天数的异动率
ft_app_act_30d_finance_days_m_rate|1|4|2.4|inf|30天金融类APP活跃天数的异动率
ft_app_act_30d_debit_credit_cnt_m_rate|1|0|-inf|0.6|30天借贷类APP活跃个数的异动率
ft_app_act_30d_debit_credit_cnt_m_rate|1|1|0.6|1.2|30天借贷类APP活跃个数的异动率
ft_app_act_30d_debit_credit_cnt_m_rate|1|2|1.2|1.8|30天借贷类APP活跃个数的异动率
ft_app_act_30d_debit_credit_cnt_m_rate|1|3|1.8|2.4|30天借贷类APP活跃个数的异动率
ft_app_act_30d_debit_credit_cnt_m_rate|1|4|2.4|inf|30天借贷类APP活跃个数的异动率
ft_app_act_30d_debit_credit_times_m_rate|1|0|-inf|0.6|30天借贷类APP活跃次数的异动率
ft_app_act_30d_debit_credit_times_m_rate|1|1|0.6|1.2|30天借贷类APP活跃次数的异动率
ft_app_act_30d_debit_credit_times_m_rate|1|2|1.2|1.8|30天借贷类APP活跃次数的异动率
ft_app_act_30d_debit_credit_times_m_rate|1|3|1.8|2.4|30天借贷类APP活跃次数的异动率
ft_app_act_30d_debit_credit_times_m_rate|1|4|2.4|inf|30天借贷类APP活跃次数的异动率
ft_app_act_30d_debit_credit_days_m_rate|1|0|-inf|0.6|30天借贷类APP活跃天数的异动率
ft_app_act_30d_debit_credit_days_m_rate|1|1|0.6|1.2|30天借贷类APP活跃天数的异动率
ft_app_act_30d_debit_credit_days_m_rate|1|2|1.2|1.8|30天借贷类APP活跃天数的异动率
ft_app_act_30d_debit_credit_days_m_rate|1|3|1.8|2.4|30天借贷类APP活跃天数的异动率
ft_app_act_30d_debit_credit_days_m_rate|1|4|2.4|inf|30天借贷类APP活跃天数的异动率
ft_app_act_30d_micro_loan_cnt_m_rate|1|0|-inf|0.6|30天小贷类APP活跃个数的异动率
ft_app_act_30d_micro_loan_cnt_m_rate|1|1|0.6|1.2|30天小贷类APP活跃个数的异动率
ft_app_act_30d_micro_loan_cnt_m_rate|1|2|1.2|1.8|30天小贷类APP活跃个数的异动率
ft_app_act_30d_micro_loan_cnt_m_rate|1|3|1.8|2.4|30天小贷类APP活跃个数的异动率
ft_app_act_30d_micro_loan_cnt_m_rate|1|4|2.4|inf|30天小贷类APP活跃个数的异动率
ft_app_act_30d_micro_loan_times_m_rate|1|0|-inf|0.6|30天小贷类APP活跃次数的异动率
ft_app_act_30d_micro_loan_times_m_rate|1|1|0.6|1.2|30天小贷类APP活跃次数的异动率
ft_app_act_30d_micro_loan_times_m_rate|1|2|1.2|1.8|30天小贷类APP活跃次数的异动率
ft_app_act_30d_micro_loan_times_m_rate|1|3|1.8|2.4|30天小贷类APP活跃次数的异动率
ft_app_act_30d_micro_loan_times_m_rate|1|4|2.4|inf|30天小贷类APP活跃次数的异动率
ft_app_act_30d_micro_loan_days_m_rate|1|0|-inf|0.6|30天小贷类APP活跃天数的异动率
ft_app_act_30d_micro_loan_days_m_rate|1|1|0.6|1.2|30天小贷类APP活跃天数的异动率
ft_app_act_30d_micro_loan_days_m_rate|1|2|1.2|1.8|30天小贷类APP活跃天数的异动率
ft_app_act_30d_micro_loan_days_m_rate|1|3|1.8|2.4|30天小贷类APP活跃天数的异动率
ft_app_act_30d_micro_loan_days_m_rate|1|4|2.4|inf|30天小贷类APP活跃天数的异动率
ft_app_ins_current_finance_cnt_cv|1|0|-inf|0.2828|近三月金融类APP安装个数的变异系数
